agency,user_bureau,application_name,year_activated,application_description,database_contents,status,confidentiality,method_of_access,pdf_page
NYC LOFT BOARD,,Loft Data,1983/84,"This module tracks the status of over 850 loft buildings moving through the stages of code compliance; the data base also includes violations, summonses and applications brought before the Board.","Building applications/certificates/permits; litigation cases; building code inspections/violations; fee collections/ accounting; inspection reports; building/structure inspections; local law, fire code, housing maintenance standards compliance inspections; loft board licenses/permits; other purchases; real property ownership; registrations; rent/lease payments; public non-compliance summons.",,,,120
OFFICE OF MANAGEMENT & BUDGET,,ASSET INVENTORY MANAGEMENT SYSTEMS,1990,"and DATABASE CONTENTS Backqround: The Charter requires that the head of each city aqency submit to the mayor each year an up-to-date inventory, assessment, and schedule of maintenance activities and necessary repairs for that aqency's portion of the city's capital plant. Process: j The mayor must then transmit to the city council an estimate of the amounts needed, byaqency, for the required maintenance and repair activities. The condition assessments, maintenance schedules and estimates must he prepared and certified by reqistered enqineers and,architects. Finally, the mayor shall include in the bUdqet messaqe an itemized statement detailinq any differences between the amounts indicated as required and the amounts appropriated for capital plant maintenance as well as the amounts actually expended. summary: The City's physical plant is defined by the Charter to include all assets or systems with a replacement value of at least $10 million and useful life of at least ten years. Even with these restrictions, the individual assets identified and appraised in the first phase of the project number approximately 2500 and include asset types such as parks, schools, office buildinqs, police precincts, prominent hridqes, bulkheads, and ferryboats. The city's approximately 5700 miles of streets are also included in this project. Assets leased to the Transit Authority, the NYC water Finance Authority and to other public benefit corporations are excluded from the Charter reportinq requirements. The City has chosen to include assets of the Health and Hospital corporation. This application also includes the inventory assessments, maintenance and repair activities required by the Charter.",,,,,122
OFFICE OF MANAGEMENT & BUDGET,,CAPIS,,"and DATABASE CONTENTS The capital Information systems, CAPIS, is software for developinq and maintaininq the City's capital commitment Plan, the Request, Executive and Adopted BUdqets and the three-year Capital Proqram. Bi-annually CAPIS produces the City's Ten Year capital Plan which sets forth the city's proqrammatic qoals for capital improvement. CAPIS is a CICS (customer' Information and Control System) online system. Application proqrams are written in command level COBOL, and many call modules or routines are assembler macros. within CAPIS there are two subsystems, the Desiqn, Award and Construction system (DACS,) and the Ten Year Plan. CAPIS includes approximately 100 on-line screens and associated proqrams, which provide inquiry and update functions to users. In addition to the online system there are 25 to 30 batch proqrams which support CAPIS and DACS. In CAPIS the basic entity is the CAPIS project which contain location, scope, and schedule information alonq with forecasts of capital commitments from all fundinq sources. within each CAPIS project commitment forecast are details called occurrences which represent either a complete capital contract with amount and commitment date or a part of a capital contract. Each detail consists of codes which describe the type of work, the fundinq (budqet line), a date, and the funded amount (City Exempt, Non-exempt, Federal, State or Private. Each CAPIS project has an approval status or Financial status Code (FSC). A project has approved status if OMB chanqes the four character FSC to an ""approved"" FSC startinq with ""EX"" or ""PL"". When a project is approved CAPIS qenerates an approved detail equal to the aqency's forecast, OMB may elect to chanqe the timinq or the amount of the approved detail, thus a CAPIS project may have a variance between the aqency's estimates and OMB's approved estimates. CAPIS contains approximately 10,800 approved projects of which 4,500 are active in the current four year proqram. These active projects contain about 9,000 details or occurrences.",,,,,123
OFFICE OF MANAGEMENT & BUDGET,,COKMUNXTY BOARD REPORTS 1981 Reqister of Community Board Requests 1986 Various Geoqraphic Capital Reports,,"OMB's Office of community Board Relations publishes various bUdqet documents for release as part of the preliminary, Executive and Adopted BUdqets. The capital bUdqet documents fulfill the requirements of Charter section 214a3.","1. The Geoqraphic Report for the Capital BUdqet contains cost estimates of site specific capital projects for the next fiscal year and the three succeedinq years sorted by community district. Appropriations-to-date and expenditures-to-date are included for each project. Also listed are borouqh and citywide projects. 2. The Geoqraphic capital commitment Plan is orqanized by community district and shows the capital appropriations and commitments for the current fiscal year and the next thee years for all active capital bUdqet projects, and project implementation schedules which qive the best estimate of the completion time for activities such as scope, desiqn and construction. 3. The Geoqraphic capital Detail Data Report shows each CAPXS project (capital project) within a bUdqet line. Sorted by community district, available information includes bUdqet costs, an implementation schedule, project location and a scope summary. For projects supported by community boards, this report crosswalks the bUdqet lines and CAPXS detail with the community board trackinq code. 4. The Reqister of Community Board BUdqet Requests publishes the responses to the capital and expense bUdqet requests submitted by the community boards. Aqency, OMB and Adopted BUdqet fundinq recommendations are presented for the successive staqes of the bUdqet process (Charter section B and 212).",,,,124
OFFICE OF MANAGEMENT & BUDGET,,QUARTERLY ALLOCATION SYSTEM,1977,"and DATABASE CONTENTS In accordance with section 106(b) of the City Charter, the Mayor shall establish Quarterly spending Allotments and aggregate position and salary limits for each unit of appropriation within an agency. TheQuarterlyAllocation System (QAS) is used to'plan and monitor monthly spending by agency. Expenditure plans are maintained by Personal Service (e.g. salaries, overtime, etc.) and Other Than Personal Services (e.g. equipment, rent, etc.). Agencies are required to remain within their spending plan hy unit of appropriation and funding source. The QAS supports various fiscal monitoring exercises which include cashflow, variance reporting and surplus/needs exercises. Expenditure forecasts for the City's cashflow are prepared each month. Variance reports on dollars and employee headcount are issued monthly to the agencies with a comparison between their actuals and plan. Any overspending/underspending that has occurred must be explained by the agency. This system provides early warnings on overspending and enables an agency to take corrective action. The surplus/needs analysis projects variances for the remainder of the current fiscal year for each agency, and surpluses and needs are halanced out across agencies to ensure that on an aggregate basis the City is within bUdget. The QAS data supports development of the Four Year Financial Plan.",,,,,125
"DEPARTMENT OF MENTAL HEALTH, MENTAL RETARDATION AND ALCOHOLISM SERVICES",,Expenditure ~y Contract,Fiscal 1988,Tracks monthly expenditures of contract agencies.,"Financial accounting, Expense ~udget/expenditures.",,,,127
"DEPARTMENT OF MENTAL HEALTH, MENTAL RETARDATION AND ALCOHOLISM SERVICES",,"Mental ,Hygiene Service Directory",Fiscal 1989,"Profiles service providers ~y listing type of service rendered, service location, and client demographics.","Address directory, demographic statistics.",,,,127
"DEPARTMENT OF MENTAL HEALTH, MENTAL RETARDATION AND ALCOHOLISM SERVICES",,Levels of Service ~y Contract,Fiscal 1987,Tracks monthly units of service rendered ~y contract agencies.,Administrative reports.,,,,127
"DEPARTMENT OF MENTAL HEALTH, MENTAL RETARDATION AND ALCOHOLISM SERVICES",,BUdget ~y Contract,Fiscal 1986,Itemizes dollar amounts from each funding source that contri~utes to a contract.,Service contracts.,,,,127
"DEPARTMENT OF MENTAL HEALTH, MENTAL RETARDATION AND ALCOHOLISM SERVICES",,Priority Agency Review council,Fiscal 1986,Performance deficiencies (or lack thereof) are itemized for each service provider.,Management reporting.,,,,128
DEPARTMENT OF PARKS AND RECREATION,,ABCD site Ratinq System,1984,"The ABCD site Rating system maintains all ratings data on properties and playgrounds undergoing ABCD, Neighborhood Parks Restoration (NPR), AUdit, and Jointly operated Playqround inspections. The ratings are ~ased upon the conditions found in the parks during inspection. xnspections were suspended in June 1991.","A4ministrative reports, building/structure inspections, inspection reports, public facilities inspections, public safety inspections, quality control inspections, inventory, parklands.",,,,130
DEPARTMENT OF PARKS AND RECREATION,,capital projects Tracking system,1987,"The capital Projects Tracking system (CPTS) is a project management tool for all capital projects. The system comprises five modUles: XnterFund Agreement, Management Services, Desiqn status, Construction, and a ConSUltant/Contractor database.","Capital construction contracts, capital ~udget/expenditures, address directory, contractor directory, capital construction contractors, capital projects, ~uilding constructions.",,,,130
DEPARTMENT OF PARKS AND RECREATION,,Computer Aided Drafting and Design,1987,The CADD system provides automation of drafting and desiqn functions to the Parks Capital Projects Design unit.,"Land use, capital projects, building modifications/repairs, building energy usage, building constructions.",,,,130
DEPARTMENT OF PARKS AND RECREATION,,Concession Billinq System,1989,"CBS tracks contract information, leasinq, qross receipts, and payment records for all concession contracts. Report cateqories include Concessions Znformation, Permit znformation, Property/Location Reports, Billinq, Payments Reports, and Revenue Reports.","property amenities/concessions, parklands, insurance certificates, parks , recreation licenses, financial reportinq, revenue collection, revenue/expenditure statistics, vendor licenses/permits, fee collections/accountinq.",,,,131
DEPARTMENT OF PARKS AND RECREATION,,Forestry Contractual Trackinq system,1989,"This system consists of two modules. The Tree Znventory Hanaqement System (TRZHS) maintains the tree inventory, records complaints, schedules work orders, and records completed work for the street trees in New York City. Due to staffinq cuts, TRZHS is currently used on a limited basis. The Contractual Trackinq module maintains the records of all mainte~ance performed throuqh tree maintenance contracts.","Contractor directory, service contracts, service contractors, inventory, tree inspections/work orders.",,,,131
DEPARTMENT OF PARKS AND RECREATION,,Inventory Control system,1988,"This system tracks all stock items carried in Parks' storehouses. Features include receipt of supplies, current inventory levels, orders, issuance, and loan and return. It allows Parks to develop a comprehensive purchasing strategy based on actual supply usage.","Vendor payments, vendor ~istory, other purchases, commodity purchases, purchase requisitions/orders, procurement, parklands, OTPS bUdget/expenditures, management reporting, inventory, financial reporting, commodities usage, commodities directory, address directory.",,,,132
DEPARTMENT OF PARKS AND RECREATION,,Parklands Property List,1986,The Parklands Property List maintains information on physical properties of all DPR owned and maintained parks and special facilities.,"Waterfronts, infra-structure (other than bridges) inventory, property owners, city owned properties, landmark sites, land use, city owned property characteristics, inventory, parklands, administrative reports, address directory.",,,,132
DEPARTMENT OF PARKS AND RECREATION,,Staffing Census Analysis,1989 This program tracks permanent staffing and mobile crew assignments and usage statistics in all properties. A variety of statistical reports are produced from the data.,,"Manpower reports/statistics, parklands, personnel records, management reporting.",,,,132
DEPARTMENT OF PARKS AND RECREATION,,Work Order Trackinq System (WOTS),1988,"WOTS tracks all work requests aade to the technical shops and qenerates reports of completed and outstandin9 work orders. zt provides detailed reports for district operations staff, borouqh aanaqers and executives.","Buildinq aodifications/repairs, inspection reports, infra­ structure (other than bridqes) inventory, buildinq/structure inspections, public facilities inspections, parklands, crime/fire/public hazard statistics, tree inspections/work orders, other.",,,,133
DEPARTMENT OF PERSONNEL,,Application Production and Processinq System,1985,This application allows the Department of Personnel to process applicants for civil Service examinations. civil Service examination test scores and eliqible lists are processed and maintained in this system.,"Correspondences, personnel examination, administrative examination, fee collections/accountinq, skilled trades licensinq, and demoqraphi~ statistics.",,,,135
DEPARTMENT OF PERSONNEL,,"Certification Evaluation, Reportinq/Trackinq system",1985,This application allows the Department of Personnel to maintain eliqible lists and to certify eliqibles to obtain job vacancies in civil Service tenured positions in various New York City d~partments.,"Employee processinq, employ,e certifications, city employee/ personnel, aUdits, administrative reports.",,,,135
DEPARTMENT OF PERSONNEL,,Hanaqerial Analysis and Trackinq system,1985,This application enables the Department of Personnel to perform analysis of the manaqerial titles throuqhout New York City qovernment. Hanaqerial allocations are tracked and analysis performed to determine the appropriateness of the title and type of manaqerial position.,"Demoqraphic statistics, personnel records, manaqement reportinq, employee transactions, correspondences, city employee/personnel, administrative reports.",,,,135
DEPARTMENT OF PERSONNEL,,Monitor processinq system,1972,"This application tracks all of the monitorial staffinq for the administration of civil Service examinations and per diem assiqnments of monitors from a pool of employees. The system qenerates call notices to staff schools for the administration of examinations, computes the amount of pay hased on the hours worked and the hourly rate of pay in accordance with the level of assiqnment.","Correspondences, city employee/personnel employee, employee processinq, manpower reports/statistics, and manpower schedules.",,,,136
DEPARTMENT OF PERSONNEL,,Personnel Investiqation Control and Trackinq system,1988,"This is a Case Trackinq system to support investiqation of applicants for various positions throuqhout New York City aqencies. These positions include competitive, permanent and discretionary hires.","Personnel records, manaqement reportinq, investiqations/ confidential, employee processinq, employee transactions, employee skills, employee certifications, correspondences, city employee/personnel, city employee skills inventory, aUdits, administrative reports.",,,,136
DEPARTMENT OF PERSONNEL,,Personnel Reportinq and Information System for Employees,1983,"This system allows the Department of Personnel to process all personnel transactions, audit New York City payroll and maintain employee personnel history on a citywide hasis.","Administrative reports, city employee payroll, aUdits, city employee/personnel, employee transactions, employee processinq, manaqement reportinq, manpower reports/statistics, personnel records, demoqraphic statistics, city employee absence/leave/ statistics, address directory.",,,,136
DEPARTMENT OF PERSONNEL,,unemployment Insurance,1991,An Equal Employment opportunity database utilized to produce Federally mandated reports and statistical analysis of the City'S workforce and labor pools. The system also allows the Department of Personnel to identify and remedy manifest cases of under utilization.,"Administrative reports, aUdits, city employee/personnel, employee transactions, manaqement reports, manpower reports/ statistics, statistics/demoqraphic, applicant trackinq, complaint trackinq, traininq trackinq.",,,,137
DEPARTMENT OF PROBATION,,Differential supervision Proqram,1982,"This is a case trackinq system for sixty thousand probationers under supervision by the Department. The system tracks probationer demoqraphics data, risks assessment, rearrests, violations and outcome data.","Case trackinq of probationers under supervision, probationer demoqraphics data, rearrest data, violation data, outcome data, risk assessment, druq usaqe, early discharqe data.",,9 HYCRR Sec. 350.11 and 9 HYCRR Sec. 351.8.,,141
DEPARTMENT OF PROBATION,,Central Placement unit,1991,This system administers the utilization of druq treatment slots by automatically matchinq probationer needs profile aqainst available treatment slots that correspond to those needs.,"Probationer druq treatment needs profile, druq treatment slot availability, automated matchinq of needs profile to slot availability, treatment provider services profile.",,42 CFR 2.1.,,141
"OFFICE OF THE DEPUTY MAYOR FOR PUBLIC SAFETY (formerly, the OFFICE OF THE COORDINATOR OF CRIMINAL JUSTICE)",,Arrest to Arraignment Computer simulation Model,1989,"This module is a simUlation model of the City's arrest to arraignment process. It utilized 1989 data to assist agencies in this process with bUdgeting and resource allocation decisions. As the database has not been updated, it is presently obsolete.","Arrests, criminal bookings.",,,,143
"OFFICE OF THE DEPUTY MAYOR FOR PUBLIC SAFETY (formerly, the OFFICE OF THE COORDINATOR OF CRIMINAL JUSTICE)",,corporation Counsel Case Tracking system,1983,"A unified case tracking and management information system of juvenile Family Court cases processed by the City's Law Department, Family Court Division.","Children/confidential, juvenile delinquent, juvenile delinquent reports/statistics, investigations/confidential, crimes, arrests, management reporting, manpower reports/statistics, petitions, probation clients, research/planning, crime/fire/ public hazard statistics, other.",,"NYS Family Court Act, section 166. ----------1I AGENCY: Deputy Mayor for Public Safety Page 2 of 2 I",,143
"OFFICE OF THE DEPUTY MAYOR FOR PUBLIC SAFETY (formerly, the OFFICE OF THE COORDINATOR OF CRIMINAL JUSTICE)",,Dept. of Probation Family Court Services System,1979,Case tracking and management information data on juvenile delinquency and PINS (person in need of supervision) cases known to City Probation's Family Court Division.,"Children/confidential, juvenile delinquent, juvenile delinquent reports/statistics, inve.tigations/confidential, crimes, arrests, management reporting, manpower reports/statistics, petitions, probation client reports/statistics, probation clients, research/planning, crime/fire/public hazard statistics, other.",,"BYS Family Court Act, section 166.",,144
"OFFICE OF THE DEPUTY MAYOR FOR PUBLIC SAFETY (formerly, the OFFICE OF THE COORDINATOR OF CRIMINAL JUSTICE)",,corporation Counsel System for the Handicapped,,"This system is a case-related database consisting of cases of juveniles on whose behalf petitions have been filed in the Family court, seeking provision of services available to children with handicapping conditions as defined in the New York State Education Law, section 4401.","Handicapped children, claims against City, financial accounting, administrative reports, miscellaneous billings, child care, education programs, grants/specific funded programs, management reporting, contractor payments, other.",,"BYS Family Court Act, section 166.",,144
DEPARTMENT OF RECORDS AND INFORMATION SERVICES,,Records and Information Kanaqement system (RIMS),1986,"RIMS is an automated system to manaqe records for the city of New York includinq the records schedulinq process, records disposals and statistics, and accessioninq and retrieval from the records center.","Aqency certification, retention schedule development, records accessioninq, box expansion and box relocation, records requisition and refile, records destruction, statistics qeneration and reportinq.",,,"Aqency records center holdinqs in RIMS are available to the public, with permission from the aqency havinq jurisdiction over the records.",146
DEPARTMENT OF SANITATION,,Private Carter system,1988,Corporate information on private carters; and the amount of refuse collected and dumped in City owned facilities.,Financial accounting.,,,,148
DEPARTMENT OF SANITATION,,sanitation Control and Analysis Network,(SCAN)/Kanpower Allocation and Reporting 1983,This system retains information regarding the assignment of department personnel to the various duty posts.,Employees and assignment posts.,,,,148
OFFICE OF THE CITY SHERIFF,,Sheriff's C~se Tracking system (Case Tracking),1991,Case Tracking keeps track of all Private Sector cases. Maintains information on enforcement and collection activities for cases assigned to this division.,"Accounting - financial, payments - creditor/debtor - refunds, jUdgments, services, fees, poundage, processes - legal/civil, courts, bank information - account information, bank ­ creditor/debtor, auction sales, payments types, monthly accounts, deputy case information.",,,,150
OFFICE OF THE CITY SHERIFF,,Sheriff's Business Tracking system (Business Tracking),1991,Business Tracking keeps track of all Public Sector cases. Maintains information on enforcement and collection activities for cases assigned to this division.,"Debtor, creditor, jUdgments, services, fees, poundage, processes - legal/civil, payment types, monthly accounts, deputy case information.",,,,150
OFFICE OF THE CITY SHERIFF,,Scufflock Tow Program (Scoff tow),1990,This program keeps track of all vehicles towed by the Sheriff's Office for outstanding jUdgment summonses. It is updated with the total amount due for all summonses/violations as well as calculating all additional fees owed before the release of any vehicles.,"Case number, seizure information - date - time, deputy information - shield, PVB Login ID, tow information - date ­ tow company, plate number/vehicle ID/state/make/year, defendant/lienholder address, precinct, jUdgment amount, fees, purchaser address, PVB payments and payee information.",,,,150
TAXI AND LIMOUSINE COMMISSION,,Centralized Safety and Inspection,1989,"This system inspects medallion taxicabs a m1n1mum of three (3) times per year. Three initial inspections and as many re-inspections as necessary to correct failed components, i.e. brakes, emission, alignment, etc.","Vehicle car make and model year, name and address of owner, results of inspection/re-inspection, items that pass, fail, advice given, notice to correct fault.",,,,152
TAXI AND LIMOUSINE COMMISSION,,complaint Tracking system,1984 - Revised 1989,This system tracks summonses issued to drivers or vehicles licensed by the Taxi and Limousine Commission from date of issue to adjUdication.,"Name and TLC license number of driver or vehicle, summons number, state driver license number, vehicle identification number, time, date and place of violation, rule number(s) violated, time and place of adjUdication hearing, name and number of hearing jUdge, disposition of summonses, fine amount and receipt number, (if any) for each summons.",,,,152
TAXI AND LIMOUSINE COMMISSION,,Driver on-line system and Reports,1984 - Revised 1989,"This system maintains all data on drivers licensed by the Taxi and Limousine Commission to operate yellow medallion cabs, for-hire vehicles, car services and limousines, para-transit ambulettes, as well as unlicensed drivers stopped while operating a vehicle.","Name and address, TLC driver number, state driver number, date of birth, social security number, height, weight, hair color, eye color, race, date license expires, telephone number and status of license.",,,,152
TAXI AND LIMOUSINE COMMISSION,,Vehicle On-line Inquiry,1984 - Revised 1989,"This system maintains data on all vehicles licensed by the Taxi and Limousine Commission, yellow medallion cabs, for-hire vehicles, para-transit ambulettes as well as those vehicles stopped while operating without a license or with a expired license.","Name and address of owne~, TLC license number, telephone number, name and address of secretary if a corporation, insurance policy number, name and address of insurance carrier, license plate number, vehicle identification number, make and model year of vehicle, meter make and serial number if, a medallion cab, expiration date of license, status of license.",,,,153
DEP AR TMENT OF TELECOMMUNICATIONS AND ENERGY,,Cable Television Construction status,Unknown,Status of cable television construction.,"Cable television system construction statistics (updated quarterly), 'inclUding 'miles' of plant, homes passed, and subscribers.",,,,155
DEP AR TMENT OF TELECOMMUNICATIONS AND ENERGY,,Cable Television Consumer complaint Summary,Unknown,Number and type of consumer complaints received by the agency regarding cable television service.,"Consumer complaint statistics (updated monthly), including service, billing and other.",,,,155
DEPARTMENT OF TRANSPORTATION,,Manaqement Oriented street Attrihutes Information Control System (MOSAICS ­ Geosupport),1985,"Manaqement Oriented Street Attrihutes Information Control system is an on-line system which uses qeosupport to track street related activities 'such as; street openinq permits, sidewalk violations, street capital projects, street maintenance and repairs, ,and manhole, canopy, vault, and telephone hooth permits.","Borouqh, Location, Cross streets, type of permit, capital project, inspection district, maintenance district.",,,,157
DEPARTMENT OF TRANSPORTATION,,Pothole Identification,1985,Database contains monthly pothole identification and repair information. Information is limited to seqment level summaries. A seqment represents a qeoqraphical area of 1 to 1.5 miles.,"Borouqh, community hoard, location, survey date, repair date, repair hours, asphalt used.",,,,157
DEPARTMENT OF TRANSPORTATION,,Street Assessment,1989,contains vehicle maintenance history of cars owned by Bureau of Traffic,"License plate, ID number, make, model,mileage, persons or units assigned to the vehicle, maintenance history.",,,,157
DEPARTMENT OF TRANSPORTATION,,"Traffic Enf. Agent Issuance Rept. , Acct. Sys. (TIRAS)",1982,Maintains the timekeeping for TEA's and records ticket issuance by TEA.,"Name of TEA, Ticket issuance by TEA, timekeeping by TEA",,,,158
DEPARTMENT OF TRANSPORTATION,,Traffic Control Roster system,1989,Tracks Personnel assignments and transfers.,"Name of TEA, personnel assignments, transfers.",,,,158
DEPARTMENT OF TRANSPORTATION,,Motorist Information computerize Exchanqe,1989,"All incidents reported to the Communication Center are loqqed and tracked, such as accidents, water main ~reaks, police calls, traffic tie-ups, emerqencies, and events.","All reported -incidents, location, type of accident, date, time.",,,,159
DEPARTMENT OF TRANSPORTATION,,Accident Records Li~rary,1990,"Tracks fatalities ~y location. contains information such as date, precinct, time, location, vehicle(s), description of the accident.","Dates, precinct, time, location, vehicle(s), and description.",,,,159
DEPARTMENT OF TRANSPORTATION,,Transportation Aqency Permits System (TAPS),1986,contains parkinq permit data for permits issued to City Aqencies. It contains vehicle identification and the unit the permit is issued to.,Transportation licenses/permits.,,,,159
DEPARTMENT OF TRANSPORTATION,,parking Information Management (PIMS),1987,"Inventory of parking meters, when they are installed or removed and rates and hours by meter.","parking meters, management reporting.",,,,160
DEPARTMENT OF TRANSPORTATION,,Vehicle Traffic Control System (VTCS),1969,"Records traffic patterns in effect by time and place. Measurements at selected locations, including volume, speed of vehicles and lane occupancy.",Traffic information.,,,,160
DEPARTMENT OF TRANSPORTATION,,Preventative Signal Maintenance (PSM),1969,"Tracks preventative maintenance and performance of signals, all activity by private contractors. Painting, cleaning and lubrication of control switch mechanisms by location.","Service contractors, vendor payments.",,,,160
DEPARTMENT OF TRANSPORTATION,,special Vehicle Identification (SVI),1984,Tracks individual parking permit issuance.,"Transportation licenses/permits (parking), city planning licenses/permits (parking).",,,,160
DEPARTMENT OF TRANSPORTATION,,street Lighting (SL),1988,"Tracks contractors service by time and location, records street light complaints by time and location. Maintains street light inventory identifying types, also tracks traffic light complaints.","Service contractors, street light inventory, street light complaints, traffic light complaints.",,,,161
DEPARTMENT OF TRANSPORTATION,,Daily signal Maintenance (SGM),1981,"Tracks complaints by time and location, tracks contractors service, calculates liquidated damages for lateness.","Service contractors (track times, calculate liquidated damages for lateness), vendor payments, other complaints (by time' location).",,,,161
DEPARTMENT OF TRANSPORTATION,,"sign, Traffic, Accidents Terminal User System (STATUS)",1983,Inventory of traffic control/regulation signs and a description of them. There is no accident data kept.,"Infra-structure (other than bridges) inventory, traffic signs, city streets/addresses/zoning/election districts/political subdivisions/community boards.",,,,161
DEPARTMENT OF TRANSPORTATION,,Vehicular Travel Time Reportinq system (VTTRS),,Sampled travel times by 16 cross streets and 12 avenues in Manhattan. Semi-annual reports with comparisons (2 day 12 hour sample (7AN to 7PH) per study).,"Air emissions complaints, manaqement reportinq, air quality, proqram reports, research/planninq, qrants/specific funded proqrams, transportation.,",,,,162
DEPARTMENT OF TRANSPORTATION,,Tow Pound Information system (TOPIS),,"Inventory of towed vehicles, dates they were in and out, plate number, state, make and color of the vehicle. Also location of the pound. For abandoned vehicles they maintain additional data for resale, owner name and vehicle identification number.","Administrative reports, abandoned vehicles.",,,,162
DEPARTMENT OF TRANSPORTATION,,Air Quality Hodeling,,supports air quality monitoring program.,"Transportation, proqram reports, research/planninq, capital construction contractors, capital projects, air quality.",,,,162
DEPARTMENT OF TRANSPORTATION,,Safe Teaa (S.A.F.E.),1988,"Records fatalities, from police reports, physical circumstances, location, conditions, vehicles involved, casual factors, and recommendations.","; Fatality-information, location, vehicle(s),· and description.",,,,163
DEPARTMENT OF TRANSPORTATION,,Tractor Trailer Accident Library (TRUCACC),1987,"This is limited to Highways only. It contains data on location, time, number of fatalities, number of injured, whether a summons was issued, surface conditions, type of accident, number of lanes blocked, length of delay in traffic, and contributing factors.","Fatality information, location, vehicle(s), and description.",,,,163
DEPARTMENT OF TRANSPORTATION,,"Traffic Count Process , Analysis System (TCPAS)",,"Average volume of vehicles by location, air emissions complaints, air quality.","Transportation, grantslspecific funded programs, researchl planning program reports, management reporting, air quality, air emissions complaints.",,,,163
DEPARTMENT OF TRANSPORTATION,,City Environmental Quality Review (CEQR),1977,"Internal tracking of Project approval process by location (Borough, community Board), title, description, project manager for New York City initials, dates by phases to final approval.","City planninqlicenses/permits, land use, e~vironmental review, research/planning, program reports, transportation.",,,,164
DEPARTMENT OF TRANSPORTATION,,Computer Oriented Research project to StUdy the Expired (CORPSE),1988,"Records fatalities, arrest/violation codes, location, date, time, conditions, drug/alcohol related, and inspector.","Fatality information, dates, location, and description. Bureau of Bridges",,,,164
DEPARTMENT OF TRANSPORTATION,,Bid Letting system,1983,system maintains up-to-date listing of state and city item codes for all construction contracts. Also kept are records of cost of each item for every bid with every contract.,"Bridges, contractors, capital Construction, contracts, Management Reporting",,,,164
DEPARTMENT OF TRANSPORTATION,,Consultant Contracts,1978,Maintains listing of approved consultants for construction and rehabilitation projects and list of all jobs in bridge rehabilitation program.,"Bridges,'contracts, capital' construction, Management Reporting, Payments, Projects/Programs, Statistics.",,,,165
DEPARTMENT OF TRANSPORTATION,,DOT BIN Inventory,1978,"A Listing of all New York City bridges maintained by NYC DOT. This list auqments state bridge inventory by adding information on bridges, such as pedestrian bridges, which do not show up in state listing.","Bridges, Inspections, Building/structure, statistics, Management Reporting.",,,,165
DEPARTMENT OF TRANSPORTATION,,Flagged Bridge Tracking - On-Line Version (FBT),,"Maintains listings of all flag conditions reported to city for repair. Flags are divided into 3 types: Structural Emergency (red), Structural in need of repair (yellow), and Safety.","Bridges, Public Safety inspections, Management Reporting, statistics, Public Complaints.",,,,165
DEPARTMENT OF TRANSPORTATION,,Flagged Bridge Tracking - Batch (HVS) Version,1978,"Uses same files as above, but is used for generating large reports in IBM Batch Mode.","Bridges, Public Safety inspections, Management Reporting, Statistics, Public Complaints.",,,,166
DEPARTMENT OF TRANSPORTATION,,Microfilm Index,1984,Maintains a list of drawings of all the cities bridges with a cross reference to where the original drawings are stored.,Bridges.,,,,166
DEPARTMENT OF TRANSPORTATION,,Project Status Monitoring,1983,Maintains milestone data for all bridges in rehabilitation program.,"Bridges, management reporting, capital construction contracts, projects/programs, miscellaneous statistics.",,,,166
DEPARTMENT OF TRANSPORTATION,,state BIN Inventory,,"A data base received froa New York State DOT of all state bridges with pertinent data, such as year built, length of bridge, etc.","Manageaent reporting, aiscellaneous'statistics, building/ structure inspections, bridges.",,,,167
DEPARTMENT OF TRANSPORTATION,,Annual Bridge Report,,A syst.. used to combine information froa inspection reports to produce a report annually on actual condition of each of the cities bridges.,"Bridges, Manageaent Reporting, Manpower Reports, Statistics, Projects/Programs, Tunnels. Parking Violations Bureau",,,,167
DEPARTMENT OF TRANSPORTATION,,Summons Tracking Accounts Receivable Systea (STARS),1988,"Vehicle registration, registered owner, parking summons, payment, disposition, and enforceaent information.","Fine collections/accounting, parking scofflaws.",,,,167
DEPARTMENT OF YOUTH SERVICES,,Youth Services Integrated Database (YBID),1990,"The Department of Youth Services Integrated Database is a series of interconnected systems that track approximately 700 contracts from the RFP process through negotiation and registration, and continues throughout the life of the document. All information both fiscal and programmatic is stored. The system tracks both in-house 'and contract agency fiscal affairs.","Financial accounting, management reporting, service contracts, demographic statistics, funding statistics, adolescent programs, child care programs, computer hardware inventory, computer software inventory, education programs, federal/state grants, federal/state reimbursements,",,,,169
